"t","W","Q","kg","Qs.obs","h","Fr","U","Ustar","UUstar","tau","shields","k","hk","kh","Re","sumks","ks","Qs.pred"
5,0.08,4e-04,0.4,1,0.0139167664700774,0.949193915357891,0.350718454831836,0.0522538953708639,6.71181454210575,2.73046958142919,0.052715024507869,0.00174930894171028,7.95557956530604,0.125697944667785,69.9374188304861,0.000391416163252833,0.00149372338735212,0.00948071203947436
10,0.08,4e-04,0.2,0.5,0.0150631813067452,0.839613701688213,0.322754549449684,0.0543635555531774,5.93696542040874,2.9553961723834,0.0570575049497923,0.00159526455699847,9.44243463610005,0.105904889844493,66.3536751081876,0.000305799806171842,0.00120227059442457,0.0152259117432165
15,0.08,4e-04,0.4,1,0.0144181555230745,0.91355983180628,0.343578795212905,0.0531868603475259,6.45984352089862,2.82884211362722,0.0546142254661914,0.00170519208025022,8.45544363597957,0.118267005618109,69.390828644205,0.000310217475032496,0.00150107574424664,0.0115905727645329
20,0.08,4e-04,0.6,1.5,0.0138967798306087,0.950809364659588,0.351062986187595,0.0522163595319075,6.72323749366467,2.72654820276543,0.0526393175401845,0.00160542685230498,8.65612769006355,0.115525098035223,64.1389026183132,0.000333751230546147,0.000902130158891975,0.00939858044109845
30,0.08,4e-04,0.4,0.5,0.0143238500032216,0.918268294071544,0.344218315701068,0.0530126340661552,6.49313737686591,2.81033937063208,0.0542570075879607,0.00233555507985258,6.13295320105478,0.163053584010394,94.7313900455812,0.000315106932521707,0.00114779115629955,0.0112807039225859
40,0.08,4e-04,1.6,2,0.0138447067839594,0.851140306217322,0.313673292159045,0.0521184369586505,6.01847082267463,2.71633147101283,0.0524420711513612,0.00244539298958498,5.66154677097893,0.176630175542485,97.5134356287763,0.000346019894175899,0.00163147885008575,0.00907519969703876
50,0.08,4e-04,2,2.5,0.0133385271500262,0.997696989810758,0.360900184549589,0.0511568082158685,7.05478307064593,2.61701902683515,0.0505247240531297,0.00205452879132405,6.49225613500902,0.154029659213162,80.4155588001105,0.000408423050380151,0.0026911324585118,0.00732299982127158
60,0.08,4e-04,1.6,2,0.0135996244132814,0.933880979866074,0.341106104133497,0.0516550705147695,6.60353573684438,2.66824630988581,0.0515137288381872,0.00270784654882465,5.02230247101128,0.199111862690867,107.019131157393,0.000304674745718895,0.00163537182207306,0.00824259606786426
75,0.08,4e-04,1.6,1.33333333333333,0.0149914741336493,0.848761611518592,0.325493561467134,0.0542340043240585,6.00165091115619,2.94132722502199,0.0567858868698837,0.00147829054804858,10.1410877269281,0.0986087515390139,61.3417107689987,0.000249107206533216,0.00103919843054668,0.0148021217407617
90,0.08,4e-04,1.6,1.33333333333333,0.0162231779210298,0.748842430587575,0.298739681406608,0.0564179714993906,5.29511560708691,3.18298750810605,0.0614514315190523,0.00191020516869303,8.49289813833443,0.117745436682714,82.4559301953419,0.000337294252237051,0.00116697238712987,0.0231805968106983
105,0.08,4e-04,0.6,0.5,0.0142314447190828,0.918315864252035,0.343123991830577,0.0528413612039286,6.49347374883799,2.79220945388405,0.0539069875722835,0.00244170550955969,5.82848532034854,0.171571162152331,98.7169416865083,0.000276400358223894,0.00192306341994863,0.0108503027623827
120,0.08,4e-04,2.6,2.16666666666667,0.0148662490178093,0.860297572147688,0.328536709098198,0.0540070185929031,6.08322247103954,2.91675805729418,0.0563115493098836,0.00184610987950411,8.05274332955875,0.124181283206849,76.283772445999,0.000365649019571025,0.00134822973691914,0.0140840107561719
