"t","W","area","Q","Qs.obs","h","Fr","U","Ustar","UUstar","tau","shields","k","hk","kh","Re","sumks","ks","Qs.pred"
5,0.08,0.75,0.00027,0.0533333333333333,0.0107011817823924,0.949792722787772,0.307736643214512,0.0458210853833188,6.71604875004868,2.09957186570539,0.0405347794787591,0.00123701659821259,8.6507988638592,0.115596260615623,43.3675923238573,0.000443130799447695,0.00100270414354692,0.0018419265290204
10,0.08,0.75,0.00027,0.0853333333333333,0.0105333076020385,0.939750227159455,0.302085115178035,0.0454602568351736,6.64503758246049,2.06663495151995,0.0398988924319639,0.00138280546210122,7.61734596132759,0.13127932026153,48.0969330223431,0.000368033890453983,0.00110062113263755,0.00167654949000776
15,0.08,0.75,0.00027,0.128,0.0107154621988781,0.923068533876536,0.299277387915099,0.0458516486445131,6.52708019804023,2.10237368341988,0.0405888719654472,0.0014417891598283,7.43205906760605,0.134552213714054,50.5802677704017,0.000403880780236659,0.00106528772606919,0.0018575435692583
20,0.08,0.75,0.00027,0.117333333333333,0.0105579800766099,0.949375530344235,0.305536399541907,0.045513467139198,6.71309875398984,2.07147569103085,0.0399923487750373,0.00149604699311451,7.0572516272567,0.141698220896329,52.0966225400253,0.000358044087246302,0.0010173449395936,0.00169122999650728
30,0.08,0.75,0.00027,0.0453333333333333,0.010557664997887,0.967521615027682,0.311371686235763,0.0455127880115626,6.84141094930634,2.07141387258544,0.0399911552950267,0.00217857330415703,4.84613713834715,0.206349917769984,75.8630030296469,0.000396130870166735,0.00175098255141025,0.00170128372138365
40,0.08,0.75,0.00027,0.0346666666666667,0.0108572728136237,0.9068474333867,0.295957334438222,0.0461540564418012,6.41237969649352,2.13019692603297,0.0411260333849384,0.00231974793351248,4.68036749026609,0.213658436453918,81.9171974400051,0.000332809214594096,0.00102116114475786,0.0020186489119304
50,0.08,0.75,0.00027,0.0613333333333333,0.01176198863272,0.796137305736406,0.270434974050687,0.0480385487888598,5.629540876418,2.30770216973966,0.0445529872451514,0.00293529761410183,4.00708554260827,0.249557936651656,107.886333316644,0.000396695687713049,0.0011497929521514,0.00338110186379726
60,0.08,0.75,0.00027,0.0613333333333333,0.0132128521166364,0.687152980278495,0.247392326771157,0.0509152392244607,4.85890532067469,2.59236158528406,0.0500486822599863,0.00324420334383615,4.07275707354789,0.245533917673335,126.380558029237,0.000345213450351302,0.0013497448601104,0.00691062951115634
75,0.08,0.75,0.00027,0.0343703704,0.012726195257442,0.658766204656652,0.232763621797771,0.0499687853515583,4.65818050529244,2.49687950951011,0.048205285066068,0.0033769469287874,3.76855056529174,0.265354008835645,129.106301628295,0.00039658664831714,0.00146585626880951,0.00551916081602729
90,0.08,0.75,0.00027,0.0260740740444444,0.0133028381032689,0.655968663818191,0.236968025462708,0.0510883238701503,4.63839890431722,2.61001683586136,0.0503895382699581,0.0027608836358325,4.81832625273164,0.20754094836004,107.91806989687,0.000365270157106117,0.00240626086249275,0.00724787303184137
105,0.08,0.75,0.00027,0.032,0.0113570952965855,0.776081986141361,0.259045314687993,0.0472044711567673,5.4877283515728,2.22826209719008,0.0430193003658542,0.00295943187292858,3.83759308686057,0.260579998286914,106.884786905949,0.000477535309305885,0.00389927648109739,0.00269755438866118
120,0.08,0.75,0.00027,0.032,0.0118387606284535,0.823537721226852,0.280653924671788,0.0481950706535698,5.82329107242424,2.32276483530259,0.0448437902592937,0.0018472095544423,6.40899707344131,0.156030653242762,68.1150688510298,0.000375852058412062,0.00131894433028674,0.003478862251167
150,0.08,0.75,0.00027,0.0361481481333333,0.0120769203713518,0.794525809672028,0.273476878806358,0.0486774257419105,5.61814587846823,2.36949177685921,0.0457459104975445,0.00149076217128881,8.10117173882331,0.123438933556697,55.521396244652,0.000320126133404412,0.00119044101737292,0.00396366645712142
180,0.08,0.75,0.00027,0.0308148148,0.0125014214457635,0.744079413814471,0.260575446771625,0.049525537732152,5.26143599249523,2.45277888765881,0.0473538691127407,0.00176752860582115,7.07282552858921,0.141386210639281,66.976132104249,0.000374720537824565,0.00111001717591243,0.00488309821784713
210,0.08,0.75,0.00027,0.0242962962666667,0.0105003494115137,0.80861311135777,0.259523780009336,0.0453890796837631,5.71775814397432,2.060168554539,0.0397740508011884,0.00200763713532111,5.23020282240112,0.191197174174005,69.7205829465735,0.000341136088110803,0.000995614785201952,0.00164355560282519
240,0.08,0.75,0.00027,0.0331851851555556,0.0126974959908613,0.693475708351031,0.244751182485977,0.0499124104147154,4.90361375963159,2.49124871340699,0.0480965757229596,0.0024907683716068,5.09782287891753,0.196162170352286,95.1187859308578,0.000393417697361764,0.00143357163438638,0.00537674426401433
300,0.08,0.75,0.00027,0.0314074073777778,0.013128695098597,0.651065700636758,0.233652322023578,0.0507528322199336,4.60372971918223,2.57584997834473,0.0497299056765038,0.0019551942992212,6.71477770972761,0.148925257577971,75.9232197595594,0.000337780491926876,0.00117899302766011,0.00656400747271724
360,0.08,0.75,0.00027,0.0296296296,0.0124841836075256,0.736256168565388,0.257657936173804,0.0494913813082291,5.20611729483012,2.44939682379653,0.0472885742709304,0.00177169075019694,7.04648009599751,0.141914826463217,67.0875458900223,0.000397681022995976,0.0013499598798184,0.00490092172356522
420,0.08,0.75,0.00027,0.0337777777777778,0.0107251931325555,0.867041609825263,0.281239945059289,0.0458724633370325,6.13091001878344,2.10428289260739,0.0406257315627103,0.00206309805655661,5.19858622253576,0.192359991196264,72.4096327162175,0.000356261623777718,0.00145728743390571,0.00187970946181868
