"t","W","area","Q","Qs.obs","h","Fr","U","Ustar","UUstar","tau","shields","k","hk","kh","Re","sumks","ks","Qs.pred"
5,0.3,3.25,0.0015,0.258461538461538,0.0147089918282521,0.897611629683508,0.340968632514362,0.0537206124006704,6.34707270221117,2.88590419670306,0.0557158781373186,0.0029651343757155,4.9606493212311,0.201586513225214,121.873630079354,0.000362228985693887,0.00209096548776878,0.0465955170196194
10,0.3,3.25,0.0015,0.246153846153846,0.0143047280393123,0.965874554409682,0.361822051161296,0.0529772370109378,6.82976447198621,2.80658764131308,0.0541845759064861,0.00471559471213051,3.03349395199603,0.329652874152594,191.139386925832,0.000473981881102573,0.00276747223010454,0.0395763580819424
15,0.3,3.25,0.0015,0.209230769230769,0.0129572365480672,0.968736998229359,0.345379521984671,0.050420331323096,6.8500050063428,2.54220981073078,0.0490804414699514,0.0053129774957399,2.43879003034676,0.410039399684529,204.959514649854,0.000513978259781951,0.00351058111699526,0.0216019698943819
20,0.3,3.25,0.0015,0.221538461538462,0.0156815608565556,0.778350049849253,0.305284043387078,0.0554682092739274,5.50376598385294,3.0767222400562,0.0593998517293772,0.00663258981311462,2.36431941344366,0.42295469652448,281.482693023688,0.000546455399565534,0.00402868329369562,0.0680710721225728
30,0.3,3.25,0.0015,0.215384615384615,0.0155799329930974,0.753485101271554,0.294572340787201,0.0552881800500407,5.32794424632148,3.05678285324572,0.0590148977011267,0.00687763393775505,2.26530419241576,0.441441817548389,290.934861108547,0.0005833445669866,0.00421812656166411,0.0654247933326562
40,0.3,3.25,0.0015,0.326153846153846,0.0163921794265969,0.635631785615197,0.254893323388079,0.0567110712603661,4.4945954594622,3.21614560349832,0.0620915887371096,0.00655728400193505,2.49984283458817,0.400025148046854,284.52226496419,0.000491669250900039,0.00430975919945239,0.0877687513576934
50,0.3,3.25,0.0015,0.283076923076923,0.0148621749320575,0.952933247297197,0.363863227622287,0.0539996177918852,6.73825561181965,2.91595872166969,0.0562961171668845,0.00768427027592182,1.93410361666055,0.517035380827536,317.480993044623,0.000656548734482956,0.00555687705488015,0.0493853648584038
60,0.3,3.25,0.0015,0.233846153846154,0.0123718529217687,0.958093203280721,0.333779482654168,0.0492682204189579,6.77474201048539,2.42735754325102,0.0468630792491239,0.00698442666453245,1.77134838920911,0.564541682535129,263.28253435978,0.000505339897120026,0.0039334586145661,0.0162880962147246
75,0.3,3.25,0.0015,0.242051282051282,0.0131928736929974,0.895361051559379,0.322108662507776,0.0508767316026305,6.33115871167955,2.5884418185661,0.0499730064128691,0.00797630240434606,1.65400871534271,0.604591735656482,310.488291206833,0.000599670339574828,0.00474218693585955,0.024214379273619
90,0.3,3.25,0.0015,0.192820512820513,0.0147589549573363,0.771672222444929,0.293626450222173,0.0538117734573893,5.45654661344103,2.89570696262939,0.0559051324141527,0.0088028046088391,1.6766196244452,0.596438205434284,362.42886564691,0.000573972598363286,0.00434752927458691,0.0477103486524404
105,0.3,3.25,0.0015,0.225641025641026,0.0150623100964314,0.877770539347137,0.337412599996271,0.0543619834159852,6.20677500698134,2.95522524091984,0.0570542049107251,0.00753293440983593,1.99952757809283,0.50011813338119,313.316951385773,0.000631161108692862,0.00462307579103527,0.0542005671015344
120,0.3,3.25,0.0015,0.237948717948718,0.0136967423126035,0.901782891713054,0.330556071148045,0.0518391824948351,6.37656797888314,2.68730084173281,0.0518815996689528,0.00808543924522095,1.69400101802747,0.59031841737877,320.690558977743,0.00060098674557708,0.00478138091329952,0.0306500700944471
150,0.3,3.25,0.0015,0.13948717948718,0.0144995484316834,0.930968476950287,0.35111284509928,0.0533367734522467,6.5829412312246,2.84481140229628,0.0549225319381947,0.00575028948764579,2.52153364849456,0.39658403947813,234.660969921499,0.000448970060192547,0.00370525534890332,0.0429198644284894
180,0.3,3.25,0.0015,0.207179487179487,0.0136836755035695,1.02271791193052,0.374706950803997,0.0518144490832464,7.23170770767018,2.68473713380033,0.0518321041801874,0.00543100216456792,2.51954889520065,0.396896445194949,215.305573930379,0.000436670802180581,0.00357088800374252,0.030368409281589
210,0.3,3.25,0.0015,0.174358974358974,0.012351173485097,1.03722110314321,0.361043856034905,0.0492270275131055,7.33426075622353,2.42330023777604,0.04678474804961,0.00569014860177028,2.17062406441449,0.460697002486122,214.314538464426,0.000416295687277361,0.00320101711198231,0.0160919841357
240,0.3,3.25,0.0015,0.209230769230769,0.0132537736995723,1.04851868804583,0.378077170967193,0.0509940231777811,7.41414674518026,2.60039039985608,0.0502036882559556,0.00556827860210269,2.38022819019282,0.420127786117427,217.252431595996,0.000428891280307746,0.00344468669273088,0.0249504337626032
300,0.3,3.25,0.0015,0.21025641025641,0.0141019478540937,0.933957341316298,0.347377028701438,0.0526004008442253,6.60407569383713,2.76680216897318,0.0534164691442942,0.00536788142483759,2.62709749675969,0.380648225364082,216.031151209433,0.000403203322404615,0.00319646885638835,0.0362545672199855
360,0.3,3.25,0.0015,0.197948717948718,0.014432533688661,0.947093850559475,0.356368090827463,0.0532133734104059,6.69696484150684,2.83166310971529,0.054668688214625,0.00649939154947514,2.22059766345767,0.450329213822063,264.617099818406,0.000472394856922104,0.00354371174037678,0.0417457166543401
420,0.3,3.25,0.0015,0.196923076923077,0.0159349467014902,0.758495611959661,0.299890621289533,0.0559145467909056,5.36337390716916,3.12643654283238,0.0603596465965538,0.00485024690254904,3.28538876920175,0.30437798088747,207.497595547072,0.000371642523529956,0.00263463046550077,0.0748405867449007
480,0.3,3.25,0.0015,0.192820512820513,0.0142336351434458,0.944179824623858,0.352815075908866,0.0528454275708322,6.67635956651055,2.79263921514407,0.0539152846342645,0.00576049834166024,2.47090343564677,0.404710271382275,232.912010624411,0.000410240165254914,0.00325056827241284,0.0384747886767115
600,0.3,3.25,0.0015,0.169230769230769,0.0162295972561322,0.795739718210778,0.317511464301555,0.0564291323843734,5.62672950806313,3.18424698165314,0.0614757471823189,0.00502839604557258,3.22758929667484,0.309828763229023,217.098719308856,0.000409281408288152,0.00309937624358604,0.0828942739747064
720,0.3,3.25,0.0015,0.191794871794872,0.0153029272076954,0.860774295093351,0.33351168093772,0.0547944734270697,6.08659341131579,3.00243431814984,0.0579656333624827,0.00532788544617906,2.87223277645169,0.348161196473562,223.365476283956,0.000444138833979885,0.00301747314562046,0.0592025878688514
840,0.3,3.25,0.0015,0.164615384615385,0.0145705132344802,0.927955232715132,0.350831801573852,0.0534671366037589,6.56163437690411,2.85873469660501,0.0551913380093947,0.00596545495124646,2.44248147937748,0.409419685857709,244.036568310531,0.000487060936710311,0.00367538437353819,0.0441912324967102
960,0.3,3.25,0.0015,0.166153846153846,0.0156026456263944,0.848226744206233,0.33185287730053,0.055328465294987,5.99786882812014,3.06123907189858,0.0591009304030091,0.00652465621321582,2.39133605151348,0.418176274040237,276.2044490089,0.000500754386599762,0.00367059352540918,0.0662119078954461
